Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Chacarita,-34.588010700000005,-58.4541562,El Imperio de la Pizza,-34.58689,-58.454967,Pizza Place
Chacarita,-34.588010700000005,-58.4541562,Fábrica de Churros Olleros,-34.586982571813174,-58.45364041688449,Bakery
Chacarita,-34.588010700000005,-58.4541562,Sede Central de Whisky,-34.58675,-58.450596,Whisky Bar
Chacarita,-34.588010700000005,-58.4541562,Pizzería Santa María,-34.587237630096844,-58.45400534570217,Pizza Place
Chacarita,-34.588010700000005,-58.4541562,Donnet,-34.588333,-58.450745,Vegetarian / Vegan Restaurant
Chacarita,-34.588010700000005,-58.4541562,Santos 4040,-34.58882175927474,-58.449863144987596,Theater
Chacarita,-34.588010700000005,-58.4541562,Albamonte Ristorante,-34.58780313871125,-58.45307528972626,Argentinian Restaurant
Chacarita,-34.588010700000005,-58.4541562,Elote,-34.585587,-58.449929,Venezuelan Restaurant
Chacarita,-34.588010700000005,-58.4541562,Lekeitio Bodegón Vasco,-34.58880977229412,-58.450204714556975,Spanish Restaurant
Chacarita,-34.588010700000005,-58.4541562,Bar Palacio (Museo Fotográfico Simik),-34.5844245452703,-58.45350078580689,Café
Chacarita,-34.588010700000005,-58.4541562,Garbarino,-34.586036680739824,-58.45221380179886,Office
Chacarita,-34.588010700000005,-58.4541562,El Galpón,-34.58565438650352,-58.45684962343385,Farmers Market
Chacarita,-34.588010700000005,-58.4541562,Almacén Comunal,-34.58687268086234,-58.45034631058062,Beer Bar
Chacarita,-34.588010700000005,-58.4541562,El Galpón de Guevara,-34.58734350437123,-58.44936615957711,Indie Theater
Chacarita,-34.588010700000005,-58.4541562,Rodney Bar,-34.591097446777596,-58.453217434676745,Bar
Chacarita,-34.588010700000005,-58.4541562,San Remo Pizza & Cafe,-34.58708161862193,-58.454901819057696,Pizza Place
Chacarita,-34.588010700000005,-58.4541562,Bar Guevar,-34.58696895748764,-58.450105382843496,Argentinian Restaurant
Chacarita,-34.588010700000005,-58.4541562,Sandwicherias NuestraMiga,-34.58480155290135,-58.45371077094156,Sandwich Place
Chacarita,-34.588010700000005,-58.4541562,Bonafide,-34.58559371868157,-58.45348579643188,Coffee Shop
Chacarita,-34.588010700000005,-58.4541562,Nike Factory Store,-34.58956531341324,-58.44965131984179,Sporting Goods Shop
Chacarita,-34.588010700000005,-58.4541562,Gallego Resto Bar,-34.58704,-58.45569,Restaurant
