,Size,Address,Neighborhood,Rent,Price/Mts2,Lat,Long,nom_address,coordinates
0,47, ZABALA 1700 ,Belgrano,25000.0,531.9,-34.5636259,-58.4423813," ZABALA 1700 ,Belgrano,Ciudad de Buenos Aires","1700, Zabala, Bajo Belgrano, Belgrano, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1426ABC, Argentina"
1,80, Virrey del Pino 2600 ,Belgrano,31000.0,387.5,-34.5674938,-58.4545983," Virrey del Pino 2600 ,Belgrano,Ciudad de Buenos Aires","2600, Virrey Del Pino, Colegiales, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1426ABC, Argentina"
3,60, aguilar al 2500 ,Belgrano,20000.0,333.3,-34.5590673,-58.4586549," aguilar al 2500 ,Belgrano,Ciudad de Buenos Aires","Aguilar, Blanco Encalada, Barrio Chino, Belgrano, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1428DDL, Argentina"
12,76, Moldes al 700 ,Belgrano,40000.0,526.3,-34.572434,-58.4475475," Moldes al 700 ,Belgrano,Ciudad de Buenos Aires","Moldes, Colegiales, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1426AGX, Argentina"
15,74, Moldes 2100 ,Belgrano,38000.0,513.5,-34.563827,-58.4594037," Moldes 2100 ,Belgrano,Ciudad de Buenos Aires","2100, Moldes, Belgrano R, Belgrano, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1428CTF, Argentina"
21,67, Av Cramer 2500 ,Belgrano,38000.0,567.2,-34.5611902,-58.4645839," Av Cramer 2500 ,Belgrano,Ciudad de Buenos Aires","2500, Avenida Crámer, Belgrano R, Belgrano, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1428CTF, Argentina"
22,100, Sucre 2020 ,Belgrano,50000.0,500.0,-34.5633705,-58.4554709," Sucre 2020 ,Belgrano,Ciudad de Buenos Aires","Sucre, Barrio Chino, Belgrano, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1428AAB, Argentina"
26,90, Virrey Arredondo al 2200 ,Belgrano,47000.0,522.2,-34.5666128,-58.4514454," Virrey Arredondo al 2200 ,Belgrano,Ciudad de Buenos Aires","Virrey Arredondo, Barrio Chino, Belgrano, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1426ABD, Argentina"
28,60, 11 de Septiembre 1630 ,Belgrano,32000.0,533.3,-34.5529809,-58.4561366," 11 de Septiembre 1630 ,Belgrano,Ciudad de Buenos Aires","11 de Septiembre, 11 de Septiembre de 1888, Barrio River, Belgrano, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1428AGL, Argentina"
41,55, Zapiola 2300 ,Belgrano,30000.0,545.5,-34.5642095,-58.4649701," Zapiola 2300 ,Belgrano,Ciudad de Buenos Aires","2300, Zapiola, Belgrano R, Belgrano, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1428CTF, Argentina"
45,74, Moldes 2100 ,Belgrano,38000.0,513.5,-34.563827,-58.4594037," Moldes 2100 ,Belgrano,Ciudad de Buenos Aires","2100, Moldes, Belgrano R, Belgrano, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1428CTF, Argentina"
46,64, DR. PEDRO IGNACIO RIVERA 4785 ,Belgrano,36000.0,562.5,-34.57015354285714,-58.48423522857143," DR. PEDRO IGNACIO RIVERA 4785 ,Belgrano,Ciudad de Buenos Aires","4785, Doctor Pedro Ignacio Rivera, Villa Urquiza, Buenos Aires, Comuna 12, Ciudad Autónoma de Buenos Aires, 1431, Argentina"
49,66, sucre 2970 ,Belgrano,35000.0,530.3,-34.5633705,-58.4554709," sucre 2970 ,Belgrano,Ciudad de Buenos Aires","Sucre, Barrio Chino, Belgrano, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1428AAB, Argentina"
51,55, DELGADO 588 ,Colegiales,25000.0,454.5,-34.58005487755102,-58.450384224489795," DELGADO 588 ,Colegiales,Ciudad de Buenos Aires","588, Delgado, Colegiales, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1427EDN, Argentina"
52,60, av de los Incas 4400 ,Colegiales,25000.0,416.7,-34.5715156,-58.4595489," av de los Incas 4400 ,Colegiales,Ciudad de Buenos Aires","Avenida de los Incas, Colegiales, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1426ELR, Argentina"
54,60, Olazabal 3400 ,Belgrano,27000.0,450.0,-34.5659675,-58.4679565," Olazabal 3400 ,Belgrano,Ciudad de Buenos Aires","3400, Olazábal, Belgrano R, Belgrano, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1430BRH, Argentina"
55,54, Aguilar 2390 ,Belgrano,36000.0,666.7,-34.568775786868684,-58.44679373636363," Aguilar 2390 ,Belgrano,Ciudad de Buenos Aires","2390, Aguilar, Las Cañitas, Palermo, Buenos Aires, Comuna 14, Ciudad Autónoma de Buenos Aires, C1426ABP, Argentina"
56,61, VUELTA DE OBLIGADO al 1400 ,Belgrano,35000.0,573.8,-34.5491768,-58.466475," VUELTA DE OBLIGADO al 1400 ,Belgrano,Ciudad de Buenos Aires","Vuelta de Obligado, Núñez, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, 1429, Argentina"
58,65, O´HIGGINS al 2100 ,Belgrano,30000.0,461.5,-34.542559,-58.4675026," O´HIGGINS al 2100 ,Belgrano,Ciudad de Buenos Aires","O'Higgins, Núñez, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1429DXC, Argentina"
59,54, AGUILAR 2600 ,Belgrano,45000.0,833.3,-34.570948,-58.448665," AGUILAR 2600 ,Belgrano,Ciudad de Buenos Aires","2600, Aguilar, Colegiales, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1426AAY, Argentina"
62,55, Av.Triunvirato 3600 ,Parque Chas,20000.0,363.6,-34.5787596,-58.4795473," Av.Triunvirato 3600 ,Parque Chas,Ciudad de Buenos Aires","Avenida Triunvirato, Parque Chas, Buenos Aires, Comuna 12, Ciudad Autónoma de Buenos Aires, C1431FBB, Argentina"
63,60, av de los Incas 4400 ,Belgrano,25000.0,416.7,-34.5809849,-58.4734924," av de los Incas 4400 ,Belgrano,Ciudad de Buenos Aires","4400, Avenida de los Incas, Villa Ortúzar, Buenos Aires, Comuna 15, Ciudad Autónoma de Buenos Aires, C1426ABC, Argentina"
64,44, Zabala 1700 ,Belgrano,23000.0,522.7,-34.5636259,-58.4423813," Zabala 1700 ,Belgrano,Ciudad de Buenos Aires","1700, Zabala, Bajo Belgrano, Belgrano, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1426ABC, Argentina"
65,60, av de los Incas 4400 ,Parque Chas,20000.0,333.3,-34.585136,-58.4794216," av de los Incas 4400 ,Parque Chas,Ciudad de Buenos Aires","Avenida de los Incas, Parque Chas, Buenos Aires, Comuna 15, Ciudad Autónoma de Buenos Aires, C1431FBB, Argentina"
66,74, SOLDADO DE LA INDEPENDENCIA al 1400 ,Belgrano,28000.0,378.4,-34.5630511,-58.4419852," SOLDADO DE LA INDEPENDENCIA al 1400 ,Belgrano,Ciudad de Buenos Aires","Soldado de la Independencia, Bajo Belgrano, Belgrano, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1426DQG, Argentina"
69,53, ARRIBEÑOS al 2200 ,Belgrano,22000.0,415.1,-34.5474614,-58.4587648," ARRIBEÑOS al 2200 ,Belgrano,Ciudad de Buenos Aires","Arribeños, Núñez, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1429BNO, Argentina"
70,62, SANTOS DUMONT 2719 ,Colegiales,24000.0,387.1,-34.57609579591837,-58.44127754693878," SANTOS DUMONT 2719 ,Colegiales,Ciudad de Buenos Aires","2719, Santos Dumont, Colegiales, Buenos Aires, Comuna 14, Ciudad Autónoma de Buenos Aires, C1426AEE, Argentina"
71,57, AMENABAR al 2800 ,Belgrano,19000.0,333.3,-34.5555789,-58.4650301," AMENABAR al 2800 ,Belgrano,Ciudad de Buenos Aires","Amenábar, Núñez, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1429AAO, Argentina"
72,50, VUELTA DE OBLIGADO 2450 ,Belgrano,22000.0,440.0,-34.55824290909091,-58.45857560909091," VUELTA DE OBLIGADO 2450 ,Belgrano,Ciudad de Buenos Aires","2450, Vuelta de Obligado, Barrio Chino, Belgrano, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, ?, Argentina"
73,50, AMENABAR 3220 ,Belgrano,26999.0,540.0,-34.55365316530612,-58.46753512653061," AMENABAR 3220 ,Belgrano,Ciudad de Buenos Aires","3220, Amenábar, Núñez, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1429AAO, Argentina"
75,65, BALBIN 2600 ,Belgrano,32500.0,500.0,-34.5618462,-58.4676639," BALBIN 2600 ,Belgrano,Ciudad de Buenos Aires","2600, Avenida Doctor Ricardo Balbín, Coghlan, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1430FED, Argentina"
78,56, Cabildo 3200 ,Belgrano,21900.0,391.1,-34.5594565,-58.4594317," Cabildo 3200 ,Belgrano,Ciudad de Buenos Aires","Cabildo, Blanco Encalada, Barrio Chino, Belgrano, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1428AAG, Argentina"
80,60, FRANKLIN D. ROOSEVELT 2585 ,Belgrano,34000.0,566.7,-34.55847201428571,-58.462246300000004," FRANKLIN D. ROOSEVELT 2585 ,Belgrano,Ciudad de Buenos Aires","2585, Franklin D. Roosevelt, Belgrano R, Belgrano, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1428AAH, Argentina"
84,58, Olleros 2454 ,Colegiales,26000.0,448.3,-34.57103092857143,-58.44401652040816," Olleros 2454 ,Colegiales,Ciudad de Buenos Aires","2454, Olleros, Colegiales, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1426AAG, Argentina"
85,62, juramento 2564 ,Belgrano,25000.0,403.2,-34.563000422906036,-58.45817532219833," juramento 2564 ,Belgrano,Ciudad de Buenos Aires","2564, Juramento, Belgrano R, Belgrano, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1428CTF, Argentina"
86,65, Freire 2300 ,Belgrano,24900.0,383.1,-34.5648249,-58.4660065," Freire 2300 ,Belgrano,Ciudad de Buenos Aires","2300, Capitán General Ramón Freire, Belgrano R, Belgrano, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1428CTF, Argentina"
87,63, vidal 2500 ,Belgrano,27700.0,439.7,-34.5606179,-58.4635197," vidal 2500 ,Belgrano,Ciudad de Buenos Aires","2500, Vidal, Colegiales, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1428CTF, Argentina"
88,70, cramer 355 ,Colegiales,24000.0,342.9,-34.57556375,-58.44336244507563," cramer 355 ,Colegiales,Ciudad de Buenos Aires","355, Crámer, Colegiales, Buenos Aires, Comuna 14, Ciudad Autónoma de Buenos Aires, 1426, Argentina"
89,70, Montañeses 1900 ,Belgrano,26000.0,371.4,-34.5594134,-58.4472552," Montañeses 1900 ,Belgrano,Ciudad de Buenos Aires","1900, Montañeses, Barrio Chino, Belgrano, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1426ABB, Argentina"
