Mts^2, Ambientes, Address, Neighborhood, City, Price
 50 m² cubiertos , 3 ambs. , Santiago DEL Estero N° al 1400 , Constitución , Capital Federal ,14000
 77 m² cubiertos , 3 ambs. , Guayaquil 746 , Caballito , Capital Federal ,25000
 66 m² cubiertos , 3 ambs. , Quevedo N° 3700 , Villa Devoto , Capital Federal ,26500
 60 m² cubiertos , 3 ambs. , PADILLA al 600 , Villa Crespo , Capital Federal ,20000
 49 m² cubiertos , 3 ambs. , Bartolome Mitre al 2700 , Balvanera , Capital Federal ,16000
 52 m² cubiertos , 3 ambs. , Rodo 4200 6° , Floresta , Capital Federal ,15000
 92 m² cubiertos , 3 ambs. , Juana Manso 1300 , Puerto Madero , Capital Federal ,70000
 53 m² cubiertos , 3 ambs. , Cabildo 110, Belgrano , Capital Federal ,19000
 68 m² cubiertos , 3 ambs. , Baigorria 2900 1° , Villa del Parque , Capital Federal ,25000
 64 m² cubiertos , 3 ambs. , Ramón L Falcón al 5400 , Villa Luro , Capital Federal ,20000
 55 m² cubiertos , 3 ambs. , Migueletes 1800 , Belgrano , Capital Federal ,23000
 50 m² cubiertos , 3 ambs. , Santander 3000 2° , Flores , Capital Federal ,18000
 46 m² cubiertos , 3 ambs. , Boyaca 500 1° , Caballito , Capital Federal ,18000
 77 m² cubiertos , 3 ambs. , Bauness al 2230 8º40, Villa Urquiza , Capital Federal ,27000
 70 m² cubiertos , 3 ambs. , Uriburu al 100 , Congreso , Capital Federal ,20000
 65 m² cubiertos , 3 ambs. , Mercedes 3800 , Villa Devoto , Capital Federal ,22500
 60 m² cubiertos , 3 ambs. , Guardia Vieja 4000 , Almagro , Capital Federal ,35000
 50 m² cubiertos , 3 ambs. , Colombres al 900 , Boedo , Capital Federal ,20000
 45 m² cubiertos , 3 ambs. , HONDURAS al 5700 , Palermo Hollywood , Capital Federal ,20000
 74 m² cubiertos , 3 ambs. , Juana Azurduy al 1600 , Núñez , Capital Federal ,38000
 58 m² cubiertos , 3 ambs. , Thames al 2100 , Palermo , Capital Federal ,25000
 45 m² cubiertos , 3 ambs. , Alberti al 500 , Balvanera , Capital Federal ,17000
 78 m² cubiertos , 3 ambs. , Paraguay al 3500 , Palermo , Capital Federal ,22000
 70 m² cubiertos , 3 ambs. , Martiniano Leguizamon 0 , Liniers , Capital Federal ,21500
 117 m² cubiertos , 3 ambs. , Juana Manso 1500 , Puerto Madero , Capital Federal ,1300
 65 m² cubiertos , 3 ambs. , Ricardo Gutierrez 3300 4° , Villa del Parque , Capital Federal ,28000
 65 m² cubiertos , 3 ambs. , Gaona al 2700 , Caballito , Capital Federal ,19000
 48 m² cubiertos , 3 ambs. , Marcos Paz 3600 2° , Villa Devoto , Capital Federal ,20000
 110 m² cubiertos , 3 ambs. , Torres DEL Yatch 3 AMB Amobaldo Juana Manso 590 Piso 38 , Puerto Madero , Capital Federal ,120
 53 m² cubiertos , 3 ambs. , RIGLOS Y PEDRO GOYENA , Caballito , Capital Federal ,26000
 62 m² cubiertos , 3 ambs. , Armenia 2200 4, Palermo , Capital Federal ,35000
 52 m² cubiertos , 3 ambs. , San ireneo 300 , Caballito , Capital Federal ,26000
 70 m² cubiertos , 3 ambs. , O HIGGINS al 1700 , Belgrano , Capital Federal ,26900
 53 m² cubiertos , 3 ambs. , Bogota 2400 , Flores , Capital Federal ,25000
 70 m² cubiertos , 3 ambs. , Padilla 600 , Villa Crespo , Capital Federal ,24000
 70 m² cubiertos , 3 ambs. , Cabello al 3200 , Palermo , Capital Federal ,450
 80 m² totales , 3 ambs. , Junin al 1000 , Barrio Norte , Capital Federal ,22000
 62 m² cubiertos , 3 ambs. , Av. Asamblea 1132 13º C , Parque Chacabuco , Capital Federal ,22000
 52 m² cubiertos , 3 ambs. , Miro Entre Bonifacio, Caballito , Capital Federal ,25000
 80 m² cubiertos , 3 ambs. , MAURE al 2300 , Belgrano , Capital Federal ,38000
 51 m² cubiertos , 3 ambs. , Pacheco al 2200 , Villa Urquiza , Capital Federal ,26000
 50 m² cubiertos , 3 ambs. , JUNCAL 4500 , Palermo , Capital Federal ,28500
 60 m² cubiertos , 3 ambs. , Gorriti al 3400 , Recoleta , Capital Federal ,22000
 57 m² cubiertos , 3 ambs. , Garcia Lorca 20 PB B , Caballito , Capital Federal ,19000
 72 m² cubiertos , 3 ambs. , Av. Diaz Velez 4000 , Almagro , Capital Federal ,28000
 62 m² cubiertos , 3 ambs. , Timoteo Gordillo 100 13° , Liniers , Capital Federal ,16000
 83 m² cubiertos , 3 ambs. , Cerrito al 200, Monserrat , Capital Federal ,19000
 51 m² cubiertos , 3 ambs. , AV CABILDO al 200 , Belgrano , Capital Federal ,21000
