Neighborhood,comuna,perimetro,area,Latitude,Longitude,poblacion,Total_delitos,Delitos/Pob,Size,Rent,Price/Mts2,subway stations
Chacarita,15,7724.85,3115707.11,-34.588010700000005,-58.4541562,27761,1452,0.05,70.0,39110.7,524.9,2.0
La Paternal,15,7087.51,2229829.03,-34.597739700000005,-58.4701995,19717,660,0.03,64.1,29726.86,454.72,0.0
Villa Crespo,15,8131.86,3615977.56,-34.59839470000001,-58.4424743,81959,3144,0.04,70.2,28683.9,410.0,1.0
Villa del Parque,11,7705.39,3399595.64,-34.6047975,-58.4938209,55273,1312,0.02,63.4,27023.8,437.5,0.0
Almagro,5,8537.9,4050752.25,-34.6099883,-58.4222331,131699,4914,0.04,64.1,27457.0,427.1,5.0
Caballito,6,10990.96,6851028.91,-34.6200773,-58.44248929999999,176076,4962,0.03,61.0,26195.5,431.4,5.0
Villa Santa Rita,11,5757.75,2153690.81,-34.6160781,-58.4827416,33325,1002,0.03,95.3,34092.2,386.6,0.0
Monte Castro,10,7361.04,2627481.33,-34.6188385,-58.50594649999999,33623,919,0.03,52.3,19000.0,359.8,0.0
Villa Real,10,5070.97,1334146.08,-34.618943200000004,-58.5258765,13419,343,0.03,61.3,21645.4,348.1,0.0
Flores,7,15772.44,8590784.13,-34.6282028,-58.4622184,164310,5518,0.03,64.7,24549.9,382.2,5.0
Floresta,10,7519.65,2320640.74,-34.6281055,-58.4837914,37575,1555,0.04,73.5,27406.2,365.8,0.0
Constitución,1,6326.84,2101995.0,-34.624246,-58.3836324,44107,3592,0.08,60.7,17499.9,294.3,0.0
San Cristóbal,3,5987.23,2043711.12,-34.6240603,-58.40238960000001,48611,1896,0.04,68.3,23209.1,349.9,2.0
Boedo,5,6602.51,2609850.88,-34.630251799999996,-58.41879,47306,1806,0.04,58.1,24375.0,416.0,1.0
Vélez Sarsfield,10,7045.58,2400518.33,-34.631196100000004,-58.492555599999996,35081,1003,0.03,61.3,21645.4,348.1,0.0
Villa Luro,10,8652.93,2566936.87,-34.63707470000001,-58.501507499999995,32502,943,0.03,58.0,18530.0,318.7,0.0
Parque Patricios,4,7878.43,3743440.0,-34.6374817,-58.401238600000006,40985,1875,0.05,52.8,19000.0,363.9,4.0
Mataderos,9,11124.64,7398178.84,-34.6578631,-58.50176170000001,64436,2497,0.04,69.9,19857.1,288.8,0.0
Villa Lugano,8,15057.47,9296142.36,-34.6741532,-58.4776892,126374,3839,0.03,59.0,15971.4,269.5,0.0
San Telmo,1,5178.03,1232270.16,-34.621401299999995,-58.37375,20453,1595,0.08,65.9,27666.7,426.8,0.0
Saavedra,12,11132.14,5538676.83,-34.5525291,-58.486275899999995,50295,1830,0.04,57.5,31000.0,531.8,0.0
Coghlan,12,4627.56,1279951.37,-34.559909600000005,-58.4747142,18604,476,0.03,67.5,32875.0,471.9,0.0
Villa Urquiza,12,10021.46,5449058.92,-34.5732414,-58.49147850000001,91563,2519,0.03,60.1,30434.0,508.6,2.0
Colegiales,13,6374.62,2289774.1,-34.574515399999996,-58.4522819,52551,1468,0.03,76.4,51136.6,577.8,0.0
Balvanera,3,8375.82,4342280.27,-34.609215500000005,-58.40313960000001,138926,9239,0.07,57.1,24411.1,854.5,12.0
Villa General Mitre,11,6290.44,2162275.12,-34.6103098,-58.4693142,34713,1059,0.03,149.0,45000.0,302.2,0.0
Parque Chas,15,4531.25,1385411.51,-34.585511100000005,-58.4793049,17489,482,0.03,58.3,22666.7,387.9,0.0
Agronomía,15,6556.17,2122169.34,-34.5915159,-58.4853851,13912,454,0.03,60.0,27673.0,461.2,0.0
Villa Ortúzar,15,5685.0,1853802.05,-34.581302,-58.4682453,21736,645,0.03,62.0,30500.0,489.6,0.0
Barracas,4,12789.79,7953453.43,-34.6452854,-58.387561899999994,89452,3711,0.04,67.6,19625.0,296.8,0.0
Parque Avellaneda,9,10165.61,4732708.21,-34.64948029999999,-58.476905200000004,53229,1805,0.03,50.0,15500.0,310.0,0.0
Parque Chacabuco,7,8406.91,3832116.7,-34.638368,-58.4387012,56281,2250,0.04,67.3,21966.7,327.3,2.0
Nueva Pompeya,4,11033.51,4951510.87,-34.652629600000004,-58.4147098,42695,2652,0.06,67.5,19900.0,293.6,0.0
Palermo,14,22126.53,15845871.29,-34.580336200000005,-58.4245236,226534,9560,0.04,88.1,107997.6,1152.9,6.0
Villa Riachuelo,8,10596.83,4232595.92,-34.6912065,-58.47145,14084,520,0.04,55.0,14000.0,254.5,0.0
Villa Soldati,8,12441.7,8688163.56,-34.6662898,-58.4459552,46779,1716,0.04,57.0,14985.7,262.0,0.0
Villa Pueyrredón,12,7522.36,3303239.51,-34.5794479,-58.504084899999995,39654,1094,0.03,59.2,28000.0,474.1,0.0
Villa Devoto,11,11562.01,6404480.85,-34.6009939,-58.515516399999996,66521,1821,0.03,73.5,30252.9,420.0,0.0
Liniers,9,9256.93,4374418.74,-34.642403,-58.5201245,44132,1783,0.04,66.5,23516.0,357.1,0.0
Versalles,10,5650.47,1406833.6,-34.628928,-58.52329870000001,13822,392,0.03,61.3,21645.4,348.1,0.0
Puerto Madero,1,17725.72,5040970.89,-34.6103764,-58.3622067,6726,283,0.04,138.6,232299.4,1649.8,0.0
Monserrat,1,6739.22,2198621.94,-34.6115595,-58.3841265,39914,3227,0.08,67.9,22722.2,342.8,9.0
San Nicolás,1,6548.08,2289007.58,-34.6044631,-58.3844969,29273,6246,0.21,72.5,25480.0,364.6,0.0
Belgrano,13,20609.78,7999239.81,-34.5613076,-58.4565454,126267,4003,0.03,80.8,66884.3,758.7,3.0
Recoleta,2,21452.84,6317264.56,-34.587358,-58.391569999999994,157932,5589,0.04,97.1,80391.2,787.9,5.0
Retiro,1,18837.99,4512710.91,-34.5916426,-58.373307,65413,3933,0.06,120.0,122591.2,1017.0,5.0
Núñez,13,10785.26,4424199.27,-34.5453484,-58.46214910000001,51949,1804,0.03,71.7,53890.2,758.3,0.0
La Boca,4,20060.0,5036240.45,-34.6335103,-58.3590424,45113,1683,0.04,55.0,24500.0,431.6,0.0
