Size,Address,Neighborhood,Rent,Price/Mts2
47, ZABALA 1700 ,Belgrano,25000.0,531.9
55, CALLAO Y CORRIENTES 441 ,Balvanera,24000.0,436.4
80, Virrey del Pino 2600 ,Belgrano,31000.0,387.5
49, Napoleon Uriburu 5769 ,Villa Lugano,12900.0,263.3
60, Rosario al 700 ,Caballito,20000.0,333.3
62, RAMÓN FALCÓN 3400 ,Flores,17500.0,282.3
66, Corrientes 5800 ,Villa Crespo,25000.0,378.8
55, Independencia 3177 ,Boedo,18000.0,327.3
110, Libertad al 1300 ,Recoleta,201630.0,1833.0
61, CULLEN 4941 ,Villa Urquiza,50000.0,819.7
50, DEL LIBERTADOR AV al 6200 ,Belgrano,17000.0,340.0
56, Avellaneda 100 ,Caballito,25000.0,446.4
43, BOGOTA 261 ,Caballito,17000.0,395.3
64, AVDA FRANCISCO BEIRO al 4700 ,Villa Devoto,25000.0,390.6
68, Gral Hornos 840 ,Barracas,20000.0,294.1
94, POSADAS 1400 ,Recoleta,38000.0,404.3
65, LACARRA 472 ,Floresta,23000.0,353.8
51, Av. Honorio Pueyrredon 1120 ,Caballito,21000.0,411.8
46, Andres Vallejos 2500 ,Villa Pueyrredón,20000.0,434.8
60, Matheu al 1700 ,Parque Patricios,18000.0,300.0
62, Junin 410 ,Balvanera,24000.0,387.1
60, GORRITI al 3400 ,Recoleta,22000.0,366.7
54, Avenida larrazabal al 100 ,Liniers,23000.0,425.9
60, GORRITI al 3400 ,Palermo,22000.0,366.7
47, Tres Arroyos al 3900 ,Floresta,19500.0,414.9
53, Miller al 2500 ,Villa Urquiza,25000.0,471.7
74, Ruiz Huidobro 2600 ,Núñez,52000.0,702.7
60, aguilar al 2500 ,Belgrano,20000.0,333.3
83, Olga Cossettini 1350. 9*E ,Puerto Madero,73320.0,883.4
118, Av Callao 1500 ,Recoleta,60000.0,508.5
65, Silvio L. Ruggieri al 2900 ,Palermo,60000.0,923.1
53, Avenida Rivadavia al 6200 ,Flores,28000.0,528.3
62, Solano Lopez 3300 1° ,Villa Devoto,35000.0,564.5
60, GASCON al 1100 ,Palermo,25000.0,416.7
110, Juana Manso 500 ,Puerto Madero,125000.0,1136.4
78, MIGUELETES 1640 ,Belgrano,69000.0,884.6
78, MIGUELETES 1640 ,Belgrano,75000.0,961.5
55, Baez 250 ,Palermo,45000.0,818.2
78, MIGUELETES 1640 ,Belgrano,69000.0,884.6
57, Armenia al 2400 ,Palermo,32000.0,561.4
60, GORRITI al 3400 ,Recoleta,22000.0,366.7
69, Luis María Campos 86 6ºC ,Palermo,37000.0,536.2
95, Uriarte al 2200 ,Palermo,50000.0,526.3
86, Avenida Pueyrredon al 1700 ,Recoleta,38000.0,441.9
70, SAN JUAN al 3900 ,Boedo,37000.0,528.6
60, GASCON al 1100 ,Villa Crespo,25000.0,416.7
62, GUISE ,Palermo,35000.0,564.5
65, CORONEL DIAZ al 2100 ,Palermo,30000.0,461.5
50, Bonpland al 1600 ,Palermo,23000.0,460.0
53, Cap. Gral. R. Freire al 2000 ,Belgrano,25000.0,471.7
90, Uriarte 2200 ,Palermo,50000.0,555.6
80, Carlos Calvo al 1800 ,San Cristóbal,26000.0,325.0
100, AV. Cramer 2200 ,Belgrano,67000.0,670.0
60, PASAJE ANCON 5388 ,Palermo,37000.0,616.7
75, Virrey Olaguer Y Feliu 2444 ,Belgrano,58000.0,773.3
50, Fragata Presidente Sarmiento al 1100 ,Caballito,24000.0,480.0
100, Pasco al 1200 ,San Cristóbal,25000.0,250.0
79, Av. Nazca 1830 ,Villa del Parque,28000.0,354.4
95, Uriarte al 2200 ,Palermo,50000.0,526.3
134, Montevideo al 1300 ,Recoleta,128310.00000000001,957.5
80, Semi Piso en Parana al 1000 3 amb con Dependencia de Servicio ,Recoleta,29900.0,373.8
68, Libertad al 1600 ,Recoleta,55000.0,808.8
46, SCALABRINI ORTIZ al 1400 ,Palermo,30000.0,652.2
65, Malabia 2200 ,Palermo,55000.0,846.2
64, Av Rivadavia al 4400 ,Caballito,22000.0,343.8
90, Soldado de la Independencia al 1300 ,Belgrano,53000.0,588.9
61, Cullen al 5000 ,Villa Urquiza,34000.0,557.4
100, Vista al Río ,Puerto Madero,120000.0,1200.0
57, Av. Coronel Diaz al 2000 ,Palermo,32000.0,561.4
80, Pompeya ,Nueva Pompeya,24000.0,300.0
61, AV. FIGUEROA ALCORTA al 3400 ,Palermo,42500.0,696.7
108, San Martín de Tours al 3100 ,Palermo,274950.0,2545.8
100, República de la India al 2900 ,Palermo,140000.0,1400.0
115, AV. LIBERTADOR al 3500 ,Palermo,80000.0,695.7
107, Avenida Alvear 1800 ,Recoleta,110000.0,1028.0
100, Valor paquete con muebles Vista al Río ,Puerto Madero,137475.0,1374.8
73, Salta 1900 ,Constitución,24000.0,328.8
108, San Martín de Tours al 3100 ,Palermo,274950.0,2545.8
100, República de la India al 2900 ,Palermo,140000.0,1400.0
93, Arcos al 1700 ,Belgrano,183300.0,1971.0
95, Gelly 3000 ,Palermo,119145.00000000001,1254.2
76, Moldes al 700 ,Belgrano,40000.0,526.3
100, Avenida Cramer 2200 ,Belgrano,72000.0,720.0
55, Basavilbaso al 1300 ,Retiro,30000.0,545.5
135, SALGUERO al 3000 ,Palermo,183300.0,1357.8
115, AV. LIBERTADOR al 3500 ,Palermo,80000.0,695.7
