long,lat,linea,estacion,numero_de_,destino_bo,calle,altura,barrio,dom_orig
-58.3972499423143,-34.587803877245605,H,LAS HERAS,1,a Hospitales,Pueyrredon,2199,Recoleta,Pueyrredon 2199
-58.4039666149165,-34.598732643142704,H,CÓRDOBA,1,a Las Heras y Hopitales,Pueyrredon,984,Balvanera,Pueyrredon 984
-58.40508654771379,-34.6035504029818,H,CORRIENTES,1,Salida únicamente,Pueyrredón,589,Balvanera,Pueyrredón 589
-58.3973860117587,-34.6230746589813,E,PICHINCHA,1,a Retiro y Plaza de los Virreyes,San Juan,2277,San Cristóbal,San Juan 2277
-58.3917454880174,-34.6226516085745,E,ENTRE RIOS - RODOLFO WALSH,1,a Retiro y Plaza de los Virreyes,San Juan,1809,San Cristóbal,San Juan 1809
-58.4055197713612,-34.604368250018204,B,PUEYRREDON,1,a L. N. Alem y J. M. de Rosas,Pueyrredón,510,Balvanera,Pueyrredón 510
-58.398669194283706,-34.609570070278004,A,PASCO,1,a Plaza de Mayo,Rivadavia,2283,Balvanera,Rivadavia 2283
-58.392680374036,-34.609137739844606,A,CONGRESO - PDTE. DR. RAÚL ALFONSÍN,1,a Plaza de Mayo,Rivadavia,1837,Balvanera,Rivadavia 1837
-58.371816135307796,-34.6087869119957,A,PLAZA DE MAYO,1,a San Pedrito,Hipólito Yrigoyen,399,Monserrat,Hipólito Yrigoyen 399
-58.3787193169857,-34.60876533883489,A,PIEDRAS,1,a Plaza de Mayo,Avenida de Mayo,869,Monserrat,Avenida de Mayo 869
-58.382748872121496,-34.6090407229121,A,LIMA,1,a Plaza de Mayo,Avenida de Mayo,1157,Monserrat,Avenida de Mayo 1157
-58.3870377273487,-34.6093283204226,A,SAENZ PEÑA,1,a Plaza de Mayo,Avenida de Mayo,1487,Monserrat,Avenida de Mayo 1487
-58.4066197226993,-34.6102746554203,A,PLAZA MISERERE,1,a Plaza de Mayo y San Pedrito,Rivadavia,2836,Balvanera,Rivadavia 2836
-58.4153385245978,-34.6106986429253,A,LORIA,1,a Plaza de Mayo,Rivadavia,3463,Almagro,Rivadavia 3463
-58.421892149327604,-34.611745651148894,A,CASTRO BARROS,1,a Plaza de Mayo,Rivadavia,3959,Almagro,Rivadavia 3959
-58.4295579822952,-34.6151357374411,A,RIO DE JANEIRO,1,a Plaza de Mayo,Rivadavia,4541,Almagro,Rivadavia 4541
-58.4362519178479,-34.6180971411152,A,ACOYTE,1,a Plaza de Mayo,Rivadavia,4995,Caballito,Rivadavia 4995
-58.4412926924192,-34.6203346387924,A,PRIMERA JUNTA,1,a Plaza de Mayo y San Pedrito,Rivadavia,5391,Caballito,Rivadavia 5391
-58.4488590281474,-34.6234898965915,A,PUAN,1,a Plaza de Mayo y San Pedrito,Rivadavia,5943,Caballito,Rivadavia 5943
-58.4563343642994,-34.6264185211763,A,CARABOBO,1,a Plaza de Mayo y San Pedrito,Rivadavia,6375,Flores,Rivadavia 6375
-58.4638644814903,-34.6289790341963,A,SAN JOSÉ DE FLORES,1,Salida unicamente,Rivadavia,6989,Flores,Rivadavia 6989
-58.470743549846105,-34.6308168874437,A,SAN PEDRITO,1,a Plaza de Mayo,Rivadavia,7469,Flores,Rivadavia 7469
-58.374880021445506,-34.603207053335,B,FLORIDA,1,a L. N. Alem y J. M. de Rosas,Corrientes,587,San Nicolas,Corrientes 587
-58.380888646126394,-34.6034442794286,B,C. PELLEGRINI,1,a L. N. Alem y J. M. de Rosas,Pellegrini,423,San Nicolas,Pellegrini 423
-58.3872990595833,-34.6039539622429,B,URUGUAY,1,Salida unicamente,Corrientes,1463,San Nicolas,Corrientes 1463
-58.392879484858,-34.6043523143446,B,CALLAO - MAESTRO ALFREDO BRAVO,1,Salida unicamente,Corrientes,1833,Balvanera,Corrientes 1833
-58.3997098739406,-34.6045438166355,B,PASTEUR - AMIA,1,a L. N. Alem y J. M. de Rosas,Corrientes,2311,Balvanera,Corrientes 2311
-58.412041187419206,-34.6039988624057,B,CARLOS GARDEL,1,a L. N. Alem y J. M. de Rosas,Corrientes,3315,Balvanera,Corrientes 3315
-58.421325062235795,-34.603040216204704,B,ALMAGRO - MEDRANO,1,a L. N. Alem,Corrientes,4019,Almagro,Corrientes 4019
-58.4313505466811,-34.602046989581396,B,ANGEL GALLARDO,1,Andén a Leandro N. Alem,Corrientes,4667,Almagro,Corrientes 4667
-58.4398795085657,-34.598706986932804,B,MALABIA - OSVALDO PUGLIESE,1,a L. N. Alem,Corrientes,5321,Villa Crespo,Corrientes 5321
-58.447711323689006,-34.5914394865517,B,DORREGO,1,a L. N. Alem,Corrientes,6201,Chacarita,Corrientes 6201
-58.455321355623205,-34.5863710172126,B,FEDERICO LACROZE,1,a L. N. Alem,Federico Lacroze,4171,Chacarita,Federico Lacroze 4171
-58.46642253125749,-34.5839467041908,B,TRONADOR - VILLA ORTÚZAR,1,a L. N. Alem y J. M. de Rosas,Guevara,1619,Villa Ortuzar,Guevara 1619
-58.474043305014604,-34.5813907426656,B,DE LOS INCAS - PQUE. CHAS,1,a L. N. Alem y J. M. de Rosas,Triunvirato,3741,Villa Ortuzar,Triunvirato 3741
